exp,phi_0,dV_ges,eps_0,h_dis_0,h_c_0,lambda,rho_c,rho_d,eta_c,etc_d,sigma,T,r_S_star,h_p_star,D_A,L_A
15mmol_30C,0.0004270913623207,751.7522530744338,0.3005957847773192,0.0188758322981366,0.1027729614561364,0.991713759093565,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
15mmol_30C,0.0003097268232073,757.4745813915857,0.3999771990613118,0.0243060245614035,0.1000643991269841,0.994988831796565,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
5mmol_30C,0.0005684442129561,1000.0322270226536,0.2999615892962858,0.0194626022035726,0.0973140920591429,0.99588804673216,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
15mmol_30C,0.0005252629562474,748.3448713592235,0.4994546043042226,0.0464775185344978,0.0936272636477901,0.99508973226697,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
15mmol_20C,0.0003341345369813,368.572605987055,0.5869402383408588,0.0250762722660276,0.1024272527984589,0.98996502326599,1002.7,832.5,0.00102,0.008737,0.00822,20,0.0101,0.241,0.2,1.3
10mmol_30C,0.0005812634337109,998.7623250809062,0.499775008345779,0.0410365143990929,0.1062823566269841,0.99417366774863,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0068,0.2733,0.2,1.3
15mmol_30C,0.0005510054903995,1006.7661578478966,0.4012057525033918,0.0377120637838137,0.104700250545658,0.992364597544925,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
2mmol_30C,0.0005836467279991,997.8167071197412,0.2993004752790806,0.0217729280822461,0.0966703513218062,0.996220479654085,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
10mmol_21C,0.0003049797877975,998.632776537217,0.3998395136156908,0.0349507763888888,0.1096418063465007,0.9916290576190552,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
15mmol_30C,0.0002949965720258,1250.1007276699029,0.2999949740793743,0.0260319899999999,0.1134848380587856,0.991483638199675,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0085,0.2211,0.2,1.3
5mmol_30C,0.0006157588009069,1999.9767121359223,0.4000157932192502,0.0325790625,0.0930523826118326,0.9950587624829,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
15mmol_20C,0.0005593307682098,1247.756612944984,0.4997730873636098,0.0319875208333333,0.0962502860107485,0.9864067450196576,1002.7,832.5,0.00102,0.008737,0.00822,20,0.0101,0.241,0.2,1.3
15mmol_20C,0.0003401193593309,1003.9034503236248,0.4000966956206965,0.0292137352622967,0.1091382728754501,0.991478083236315,1002.7,832.5,0.00102,0.008737,0.00822,20,0.0101,0.241,0.2,1.3
10mmol_30C,0.000327323098417,1000.691120711974,0.4999205277452283,0.0201710814285714,0.1278209700330688,0.996096519734035,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0068,0.2733,0.2,1.3
2mmol_30C,0.0006982405401018,2002.427888996764,0.5001117652735263,0.028438299574173,0.0896256687975899,0.99571477479556,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
ye,0.0002,200.0,0.2,0.04,0.1,0.989304813,998.29,819.72,0.00102,0.00973,0.036,20,0.00975,0.2495,0.15,0.56
