N_D,V_dis_total,Sep. Eff.,Vol_imbalance [%],status
10,0.0018867602684697756,0.9999098508084604,0.0,success
15,0.0018781721787838226,0.999943650800802,0.0,success
18,0.001876315191985731,0.9999510002787921,0.0,success
19,0.001875778890879225,0.9999532586224362,0.0,success
20,0.001875410446211944,0.9999556046367751,0.0,success
21,0.0018751429502247463,0.9999571808885738,0.0,success
22,0.0018747390591608347,0.9999578250631764,0.0,success
25,0.0018742773923344843,0.9999595961318052,0.0,success
30,0.0018736211797677216,0.9999631566519485,0.0,success
40,0.0018728370994532625,0.9999661093233259,0.0,success
50,0.0018725700771879085,0.9999667761661795,0.0,success
60,0.0018724361572413242,0.9999676372061607,0.0,success
