N_x,V_dis_total,Sep. Eff.,Vol_imbalance [%],status
101,0.001875410446211944,0.9999556046367751,0.0,success
201,0.0018610763055345223,0.9999583562795232,0.0,success
301,0.0018564772289899512,0.9999590089534763,0.0,success
401,0.001854219987849894,0.9999593512444489,0.0,success
501,0.0018528774034344648,0.9999599043442928,0.0,success
601,0.0018519915991731621,0.999960054848393,0.0,success
701,0.0018513624625483868,0.9999601762321645,0.0,success
801,0.0018508925064415621,0.999960272386716,0.0,success
901,0.0018505281529893538,0.9999603517295531,0.0,success
1001,0.001850237589858841,0.9999606670749418,0.0,success
