exp,phi_0,dV_ges,eps_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status
ye,0.00026,160,0.2,0.0017063059310793596,0.964208839741866,0.0,success
ye,0.000281,160,0.2,0.0016636219272671083,0.9749073826724015,0.0,success
ye,0.000307,160,0.2,0.0016165592823875691,0.983719283798595,0.0,success
ye,0.00037,160,0.2,0.0015054472163186984,0.9940643240580583,0.0,success
ye,0.000431,160,0.2,0.001409494384486125,0.9976495664445695,0.0,success
ye,0.000532,160,0.2,0.0013129735054312277,0.9994373992314729,0.0,success
ye,0.0006889999999999999,160,0.2,0.0012126989347741599,0.9999214984154198,0.0,success
ye,0.001281,160,0.2,0.0010162771053696135,0.9999995705127457,0.0,success
ye,0.000252,200,0.2,0.0021225069553008837,0.93624471877463,1.2197274440461926e-14,success
ye,0.000283,200,0.2,0.0020667325393679947,0.9603287649951224,1.2197274440461926e-14,success
ye,0.000325,200,0.2,0.0019676344520320956,0.9790031523536442,1.2197274440461926e-14,success
ye,0.000383,200,0.2,0.0018591365289796185,0.9910887585360063,1.2197274440461926e-14,success
ye,0.000464,200,0.2,0.0017284926095549995,0.9971640264715302,1.2197274440461926e-14,success
ye,0.000584,200,0.2,0.0015948602479143481,0.9994246629977473,1.2197274440461926e-14,success
ye,0.000788,200,0.2,0.001451464545045912,0.9999480114074975,1.2197274440461926e-14,success
ye,0.001095,200,0.2,0.0013323357858031012,0.999996576783346,1.2197274440461926e-14,success
ye,0.0015,200,0.2,0.0012040462382344962,0.9999999272610602,1.2197274440461926e-14,success
ye,0.000271,240,0.2,0.0024806049996229794,0.9322644054385435,0.0,success
ye,0.000298,240,0.2,0.0024149372366778863,0.9536191786856832,0.0,success
ye,0.000343,240,0.2,0.0023046960305797867,0.9751851056304871,0.0,success
ye,0.000404,240,0.2,0.0021706457535520516,0.9891645443217086,0.0,success
ye,0.000503,240,0.2,0.001999904442512272,0.9970031772188818,0.0,success
ye,0.00061,240,0.2,0.001875410446211944,0.9991920202661388,0.0,success
ye,0.0008039999999999999,240,0.2,0.001735370917510425,0.9999085694972193,0.0,success
ye,0.001092,240,0.2,0.0015764162960022717,0.9999925575609321,0.0,success
ye,0.001416,240,0.2,0.0014557307785815078,0.9999995297147003,0.0,success
ye,0.000254,280,0.2,0.0029103078614841826,0.888543047301003,0.0,success
ye,0.000294,280,0.2,0.0028071361743199756,0.933881256149482,0.0,success
ye,0.000337,280,0.2,0.0026964470797242127,0.9621940278077682,0.0,success
ye,0.000402,280,0.2,0.0025320382346276466,0.983527910149667,0.0,success
ye,0.000497,280,0.2,0.0023472929172418085,0.994878349063846,0.0,success
ye,0.000617,280,0.2,0.002186367853570156,0.9987280427429145,0.0,success
ye,0.0008,280,0.2,0.0020224344290891375,0.9998229899164819,0.0,success
ye,0.001099,280,0.2,0.0018259478148453974,0.9999866564240619,0.0,success
ye,0.001278,280,0.2,0.001753112612543961,0.999996502945363,0.0,success
niba1,0.0007,2050,0.3,0.005809654176006103,0.9829535804033276,0.0,success
niba1,0.000905,2350,0.5,0.009052815922464926,0.9966494700446131,0.0,success
niba2,0.0006325,1600,0.3,0.004949988056214602,0.9871937869382358,0.0,success
niba2,0.0006075,1500,0.3,0.004656488355557188,0.9855678486170156,0.0,success
niba2,0.000738,1450,0.5,0.0065163226317700215,0.9965713704022409,0.0,success
niba2,0.000865,1850,0.5,0.0075977402554587474,0.9983677979024862,0.0,success
niba3,0.0006275,1600,0.3,0.0064153782108403844,0.9960162389411779,0.0,success
niba3,0.000585,1450,0.3,0.006027018095274212,0.9947315834938789,0.0,success
niba3,0.0007075,1400,0.5,0.008085287374430147,0.999096037530968,0.0,success
niba3,0.000635,1150,0.5,0.0069649527341072185,0.998473171475333,0.0,success
niba4,0.0006675,1600,0.3,0.005683118450963219,0.9978734854914266,0.0,success
niba4,0.0006303,1500,0.3,0.005424926709933435,0.9972282656334748,0.0,success
niba4,0.0007225,1350,0.5,0.006864974091257262,0.9994589723668169,0.0,success
niba4,0.0006725,1200,0.5,0.00651202348225144,0.9991743846311529,0.0,success
