exp,phi_0,dV_ges,eps_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status
ye,0.00026,160,0.2,0.0018015900721353646,0.964094672401423,0.0,success
ye,0.000281,160,0.2,0.0017513128941157295,0.9748390844773259,0.0,success
ye,0.000307,160,0.2,0.0016936482953589889,0.9836930074754774,0.0,success
ye,0.00037,160,0.2,0.001557631950695009,0.994079693670073,0.0,success
ye,0.000431,160,0.2,0.0014421985513446225,0.9976668380986737,0.0,success
ye,0.000532,160,0.2,0.0013215013750864197,0.9994478492739599,0.0,success
ye,0.0006889999999999999,160,0.2,0.0012010148139018064,0.9999242658205766,0.0,success
ye,0.001281,160,0.2,0.0009798807181795514,0.9999996160470557,0.0,success
ye,0.000252,200,0.2,0.0022653693882944675,0.9359597786770185,1.2197274440461926e-14,success
ye,0.000283,200,0.2,0.0021853886770731384,0.9601491433616175,1.2197274440461926e-14,success
ye,0.000325,200,0.2,0.0020738148020356586,0.9788976675311822,1.2197274440461926e-14,success
ye,0.000383,200,0.2,0.0019177932918058472,0.9910285718949282,1.2197274440461926e-14,success
ye,0.000464,200,0.2,0.0017653753549012885,0.9971430959389264,1.2197274440461926e-14,success
ye,0.000584,200,0.2,0.0015963865215600699,0.999419639623057,1.2197274440461926e-14,success
ye,0.000788,200,0.2,0.001442572352968339,0.9999477203134162,1.2197274440461926e-14,success
ye,0.001095,200,0.2,0.0012846285233416074,0.9999966387195055,1.2197274440461926e-14,success
ye,0.0015,200,0.2,0.001143335718530322,0.999999935574619,1.2197274440461926e-14,success
ye,0.000271,240,0.2,0.0026579292404663463,0.9319547995604527,0.0,success
ye,0.000298,240,0.2,0.0025788614753358184,0.953392613098108,0.0,success
ye,0.000343,240,0.2,0.0024337786236725703,0.9750424039938473,0.0,success
ye,0.000404,240,0.2,0.002268273370966937,0.9890869413696574,0.0,success
ye,0.000503,240,0.2,0.002041816383602434,0.9969737081701937,0.0,success
ye,0.00061,240,0.2,0.0018786587930248858,0.9991820268709725,0.0,success
ye,0.0008039999999999999,240,0.2,0.0017008516497022364,0.9999072072645331,0.0,success
ye,0.001092,240,0.2,0.0015374584458154848,0.9999924574739687,0.0,success
ye,0.001416,240,0.2,0.0014009759770494637,0.9999995223048589,0.0,success
ye,0.000254,280,0.2,0.0031834916466572842,0.8880124372047016,0.0,success
ye,0.000294,280,0.2,0.003037748055196284,0.9335659121641912,0.0,success
ye,0.000337,280,0.2,0.0028800269830290166,0.9619965852759385,0.0,success
ye,0.000402,280,0.2,0.00266174242725866,0.9834098788318046,0.0,success
ye,0.000497,280,0.2,0.0024008795196854217,0.9948235778788918,0.0,success
ye,0.000617,280,0.2,0.0021966460824162353,0.9987103830412896,0.0,success
ye,0.0008,280,0.2,0.001985965595721372,0.9998197954459485,0.0,success
ye,0.001099,280,0.2,0.0017770663062792434,0.9999864218936239,0.0,success
ye,0.001278,280,0.2,0.0016893732388389624,0.9999964336194493,0.0,success
niba1,0.0007,2050,0.3,0.0057233087116617684,0.9824459536189057,0.0,success
niba1,0.000905,2350,0.5,0.008418999805743914,0.9967965896470702,0.0,success
niba2,0.0006325,1600,0.3,0.004733109903378559,0.9920117785317579,0.0,success
niba2,0.0006075,1500,0.3,0.004565868633355008,0.9915606866194133,0.0,success
niba2,0.000738,1450,0.5,0.005910849011991136,0.9988410168940365,6.729530725772096e-15,success
niba2,0.000865,1850,0.5,0.006730405521740933,0.999222371575228,0.0,success
niba3,0.0006275,1600,0.3,0.005970940582801599,0.9955635844858197,0.0,success
niba3,0.000585,1450,0.3,0.005708033062475449,0.9949486313657351,0.0,success
niba3,0.0007075,1400,0.5,0.007156202345127512,0.9994431544085045,0.0,success
niba3,0.000635,1150,0.5,0.0064346477856747,0.9993906038919225,0.0,success
niba4,0.0006675,1600,0.3,0.004991315309151002,0.9985191554310457,0.0,success
niba4,0.006303,1500,0.3,0.0011327121851782119,1.0,0.0,success
niba4,0.0007225,1350,0.5,0.005930839133698227,0.9998268475712063,0.0,success
niba4,0.0006725,1200,0.5,0.00553803254910938,0.9997860534247739,0.0,success
