phi_0,dV_ges,Sep. Eff.,Vol_imbalance [%],status
0.0001,250,[0.2832668],0.0,success
0.00015,250,[0.62063305],9.75781955236954e-15,success
0.0002,250,[0.94488705],0.0,success
0.000225,250,[0.97412683],0.0,success
0.0003,250,0.9704974612505899,0.0,success
0.0005,250,0.9927645429028531,0.0,success
0.0001,500,[0.23623296],0.0,success
0.00015,500,[0.56058905],0.0,success
0.0002,500,[0.91432656],0.0,success
0.000225,500,[0.94730491],0.0,success
0.0003,500,0.9705933893640273,0.0,success
0.0005,500,0.9924585898100964,0.0,success
0.0001,750,[0.44671257],0.0,success
0.00015,750,[0.71924651],0.0,success
0.0002,750,[0.90644413],0.0,success
0.000225,750,[0.92583791],0.0,success
0.0003,750,0.9704461258877591,0.0,success
0.0005,750,0.9920584698451871,0.0,success
0.0001,1000,[0.34148914],0.0,success
0.00015,1000,[0.58009511],0.0,success
0.0002,1000,[0.78871636],0.0,success
0.000225,1000,[0.86238227],9.75781955236954e-15,success
0.0003,1000,0.9606851488549851,0.0,success
0.0005,1000,0.9915664379855675,0.0,success
0.0001,1250,[0.3008868],1.5612511283791264e-14,success
0.00015,1250,[0.50916303],1.5612511283791264e-14,success
0.0002,1250,[0.71486349],1.5612511283791264e-14,success
0.000225,1250,[0.79868867],1.5612511283791264e-14,success
0.0003,1250,0.9341851522627875,1.5612511283791264e-14,success
0.0005,1250,0.9909815902930894,1.5612511283791264e-14,success
0.0001,1500,[0.26892206],0.0,success
0.00015,1500,[0.45231043],0.0,success
0.0002,1500,[0.64748433],0.0,success
0.000225,1500,[0.73454957],0.0,success
0.0003,1500,0.9001463732236372,0.0,success
0.0005,1500,0.9902994328259581,0.0,success
0.0001,1750,[0.24548576],0.0,success
0.00015,1750,[0.40863525],0.0,success
0.0002,1750,[0.59129683],0.0,success
0.000225,1750,[0.67779035],0.0,success
0.0003,1750,0.861726514596384,0.0,success
0.0005,1750,0.9896358451821938,0.0,success
0.0001,2000,[0.22758105],0.0,success
0.00015,2000,[0.37429672],0.0,success
0.0002,2000,[0.54443284],0.0,success
0.000225,2000,[0.62845198],0.0,success
0.0003,2000,0.8224741493969528,9.75781955236954e-15,success
0.0005,2000,0.9867730692587249,0.0,success
