N_x,V_dis_total,Vol_imbalance [%],status
51,0.004704356811502532,0.0,success
61,0.004678895055950879,0.0,success
71,0.0046606766090262,0.0,success
81,0.004646994253986909,0.0,success
91,0.004636337762023227,0.0,success
101,0.004627799793570359,0.0,success
151,0.004602101784577764,0.0,success
201,0.004589175459003262,0.0,success
251,0.004581379142884998,0.0,success
301,0.0045761579582419215,0.0,success
351,0.004572413726656579,0.0,success
401,0.004569595697157302,0.0,success
451,0.004567397057712665,0.0,success
501,0.004565633221514004,0.0,success
601,0.004562977979643455,0.0,success
701,0.004561073288725213,0.0,success
